"","signature_name","gene_id","gene_type","gene_name","weight"
"40","PredictIO","ENSG00000169248.13","protein_coding","CXCL11","sensitive"
"41","PredictIO","ENSG00000105374.10","protein_coding","NKG7","sensitive"
"42","PredictIO","ENSG00000152969.20","protein_coding","JAKMIP1","sensitive"
"43","PredictIO","ENSG00000159023.22","protein_coding","EPB41","sensitive"
"44","PredictIO","ENSG00000156234.8","protein_coding","CXCL13","sensitive"
"45","PredictIO","ENSG00000013374.17","protein_coding","NUB1","sensitive"
"46","PredictIO","ENSG00000115523.17","protein_coding","GNLY","sensitive"
"47","PredictIO","ENSG00000188389.11","protein_coding","PDCD1","sensitive"
"48","PredictIO","ENSG00000144597.14","protein_coding","EAF1","sensitive"
"49","PredictIO","ENSG00000089639.11","protein_coding","GMIP","sensitive"
"50","PredictIO","ENSG00000130487.9","protein_coding","KLHDC7B","sensitive"
"51","PredictIO","ENSG00000177494.6","protein_coding","ZBED2","sensitive"
"52","PredictIO","ENSG00000117090.16","protein_coding","SLAMF1","sensitive"
"53","PredictIO","ENSG00000100453.14","protein_coding","GZMB","sensitive"
"54","PredictIO","ENSG00000188404.10","protein_coding","SELL","sensitive"
"55","PredictIO","ENSG00000116990.11","protein_coding","MYCL","sensitive"
"56","PredictIO","ENSG00000139832.5","protein_coding","RAB20","sensitive"
"57","PredictIO","ENSG00000160654.11","protein_coding","CD3G","sensitive"
"58","PredictIO","ENSG00000143401.15","protein_coding","ANP32E","sensitive"
"59","PredictIO","ENSG00000127084.19","protein_coding","FGD3","sensitive"
"60","PredictIO","ENSG00000156675.16","protein_coding","RAB11FIP1","sensitive"
"61","PredictIO","ENSG00000172543.9","protein_coding","CTSW","sensitive"
"62","PredictIO","ENSG00000156738.18","protein_coding","MS4A1","sensitive"
"63","PredictIO","ENSG00000113088.6","protein_coding","GZMK","sensitive"
"64","PredictIO","ENSG00000182866.17","protein_coding","LCK","sensitive"
"65","PredictIO","ENSG00000154451.15","protein_coding","GBP5","sensitive"
"66","PredictIO","ENSG00000164120.14","protein_coding","HPGD","sensitive"
"67","PredictIO","ENSG00000135148.12","protein_coding","TRAFD1","sensitive"
"68","PredictIO","ENSG00000117228.11","protein_coding","GBP1","sensitive"
"69","PredictIO","ENSG00000172215.6","protein_coding","CXCR6","sensitive"
"70","PredictIO","ENSG00000105613.10","protein_coding","MAST1","sensitive"
"71","PredictIO","ENSG00000158769.18","protein_coding","F11R","sensitive"
"72","PredictIO","ENSG00000112149.10","protein_coding","CD83","sensitive"
"73","PredictIO","ENSG00000197312.12","protein_coding","DDI2","sensitive"
"74","PredictIO","ENSG00000164691.18","protein_coding","TAGAP","sensitive"
"75","PredictIO","ENSG00000152778.10","protein_coding","IFIT5","sensitive"
"76","PredictIO","ENSG00000154822.18","protein_coding","PLCL2","sensitive"
"77","PredictIO","ENSG00000165025.15","protein_coding","SYK","sensitive"
"78","PredictIO","ENSG00000170836.13","protein_coding","PPM1D","sensitive"
"79","PredictIO","ENSG00000134539.17","protein_coding","KLRD1","sensitive"
"80","PredictIO","ENSG00000100784.12","protein_coding","RPS6KA5","sensitive"
"81","PredictIO","ENSG00000180644.8","protein_coding","PRF1","sensitive"
"82","PredictIO","ENSG00000027075.17","protein_coding","PRKCH","sensitive"
"83","PredictIO","ENSG00000077984.6","protein_coding","CST7","sensitive"
"84","PredictIO","ENSG00000145649.8","protein_coding","GZMA","sensitive"
"85","PredictIO","ENSG00000188060.8","protein_coding","RAB42","sensitive"
"86","PredictIO","ENSG00000167461.12","protein_coding","RAB8A","sensitive"
"87","PredictIO","ENSG00000104626.15","protein_coding","ERI1","sensitive"
"88","PredictIO","ENSG00000122224.18","protein_coding","LY9","sensitive"
"89","PredictIO","ENSG00000089692.9","protein_coding","LAG3","sensitive"
"90","PredictIO","ENSG00000131242.18","protein_coding","RAB11FIP4","sensitive"
"91","PredictIO","ENSG00000162654.9","protein_coding","GBP4","sensitive"
"92","PredictIO","ENSG00000119392.16","protein_coding","GLE1","sensitive"
"93","PredictIO","ENSG00000078589.13","protein_coding","P2RY10","sensitive"
"94","PredictIO","ENSG00000092010.15","protein_coding","PSME1","sensitive"
"95","PredictIO","ENSG00000107099.18","protein_coding","DOCK8","sensitive"
"96","PredictIO","ENSG00000198851.10","protein_coding","CD3E","sensitive"
"97","PredictIO","ENSG00000240065.8","protein_coding","PSMB9","sensitive"
"98","PredictIO","ENSG00000153066.13","protein_coding","TXNDC11","sensitive"
"99","PredictIO","ENSG00000177084.18","protein_coding","POLE","sensitive"
"100","PredictIO","ENSG00000173208.4","protein_coding","ABCD2","sensitive"
